sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
1,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.027394741680455966,0.29446640316205536,Inf,107,56,0.17786561264822134,0.0
2,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.027210884353741496,0.2924901185770751,61.0,15,28,0.17391304347826086,0.00018385732671446958
3,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.023349880492737635,0.2509881422924901,62.0,2,3,0.17193675889328064,0.00018385732671446958
4,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.027762456333884904,0.2984189723320158,70.0,16,12,0.16798418972332016,0.0
5,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.03824232395660967,0.41106719367588934,81.5,23,47,0.16403162055335968,0.0
6,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.045412759698473984,0.4881422924901186,98.0,33,53,0.1600790513833992,0.0
7,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06398234969663541,0.6877470355731226,113.0,30,131,0.15810276679841898,0.00018385732671446958
8,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.049457620886192315,0.5316205533596838,Inf,14,31,0.15612648221343872,0.0005515719801434088
9,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.04449347306490164,0.4782608695652174,Inf,0,2,0.15217391304347827,0.0009192866335723479
10,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.04817061959919103,0.5177865612648221,Inf,1,22,0.1482213438735178,0.0009192866335723479
11,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.052950910093767234,0.5691699604743083,Inf,5,47,0.1482213438735178,0.0011031439602868175
12,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06287920573634859,0.6758893280632411,32.75,16,91,0.1482213438735178,0.0009192866335723479
13,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08089722375436662,0.8695652173913043,28.3,21,162,0.15019762845849802,0.001287001287001287
14,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06931421217135503,0.7450592885375494,72.75,8,93,0.1482213438735178,0.001287001287001287
15,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.055341055341055344,0.5948616600790514,146.0,1,10,0.15019762845849802,0.0014708586137157566
16,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.059202059202059204,0.6363636363636364,73.75,3,29,0.14031620553359683,0.0014708586137157566
17,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07133664276521419,0.766798418972332,49.333333333333336,1,98,0.13636363636363635,0.0018385732671446957
18,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07813936385364957,0.8399209486166008,51.166666666666664,11,129,0.13438735177865613,0.0018385732671446957
19,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08439051296194153,0.9071146245059288,Inf,8,158,0.1324110671936759,0.0023901452472881043
20,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07115278543849972,0.7648221343873518,158.5,2,80,0.12845849802371542,0.0018385732671446957
21,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06030520316234602,0.6482213438735178,158.5,0,18,0.1225296442687747,0.0018385732671446957
22,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06159220444934731,0.6620553359683794,Inf,0,26,0.12450592885375494,0.0018385732671446957
23,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07924250781393638,0.8517786561264822,161.5,6,110,0.1225296442687747,0.001654715940430226
24,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08089722375436662,0.8695652173913043,164.0,5,115,0.12055335968379446,0.0014708586137157566
25,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07758779187350616,0.83399209486166,165.0,2,96,0.116600790513834,0.0020224305938591654
26,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.063430777716492,0.6818181818181818,165.0,0,19,0.11264822134387352,0.001654715940430226
27,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06067291781577496,0.6521739130434783,165.0,0,0,0.11462450592885376,0.001287001287001287
28,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06490163633020776,0.6976284584980237,165.5,1,28,0.11264822134387352,0.001287001287001287
29,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.0694980694980695,0.7470355731225297,166.5,2,47,0.1067193675889328,0.0009192866335723479
30,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07685236256664828,0.8260869565217391,84.5,5,84,0.1067193675889328,0.0009192866335723479
31,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08365508365508366,0.8992094861660079,85.75,5,118,0.10276679841897234,0.0009192866335723479
32,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.0694980694980695,0.7470355731225297,Inf,2,37,0.09881422924901186,0.001287001287001287
33,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.063430777716492,0.6818181818181818,Inf,0,1,0.09486166007905138,0.0009192866335723479
34,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.06747563890421034,0.7252964426877471,Inf,2,21,0.09486166007905138,0.0011031439602868175
35,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07832322118036404,0.841897233201581,Inf,3,80,0.09288537549407115,0.0011031439602868175
36,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07979407979407979,0.857707509881423,87.75,1,91,0.09288537549407115,0.0009192866335723479
37,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.09082551939694797,0.9762845849802372,59.0,3,148,0.09683794466403162,0.0014708586137157566
38,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07004964147821291,0.7529644268774703,177.5,1,29,0.09881422924901186,0.001654715940430226
39,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.0652693509836367,0.7015810276679841,177.5,0,0,0.1007905138339921,0.001287001287001287
40,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07041735613164185,0.7569169960474308,178.0,1,28,0.09881422924901186,0.001654715940430226
41,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07501378929950359,0.8063241106719368,89.0,0,60,0.09288537549407115,0.001654715940430226
42,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08071336642765214,0.8675889328063241,89.5,2,87,0.09288537549407115,0.0014708586137157566
43,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08843537414965986,0.950592885375494,59.833333333333336,1,128,0.09090909090909091,0.0014708586137157566
44,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07243978672550101,0.7786561264822134,180.5,2,39,0.09288537549407115,0.0014708586137157566
45,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.0671079242507814,0.7213438735177866,Inf,0,4,0.09090909090909091,0.0014708586137157566
46,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07078507078507079,0.7608695652173914,Inf,1,23,0.09090909090909091,0.001287001287001287
47,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.07997793712079426,0.8596837944664032,Inf,2,74,0.09486166007905138,0.0011031439602868175
48,4,60000 milliseconds,5,20,0.0,0.26,0.2,0.1,0.06,0.08347122632836919,0.8972332015810277,Inf,2,93,0.09486166007905138,0.0009192866335723479
